id,classification_predictions,regression_predictions
001ec8f4d2679f2899a63e4b2597c0a10bd9393f,5.07171231357767e-07,20
00327390bfd6101b87106e96e0efc1c938690e1f,1.964165414312097e-05,6
00573dde8addbac780cfa35a55a790fa1aa45178,9.142503006189043e-07,20
00cb5b91a4acdfaa2f55dc2266e598ff06f9209e,9.108819354474538e-05,6
00de1146bdcbfb02ed5f0e13fd6b9fe62157c0b2,5.814417191016025e-05,6
01422922839397a697d74966770f74375cd53ad2,1.2093569518784183e-06,20
014cd6dae8af47557ca224fe0ba1cbd3de574b5c,3.0735638599667825e-05,1
0157998abecf93326c60928f0f899afebf0baf73,5.533874672237091e-07,20
01669a0cf123d9efdc66260f88d480fba3f0ef57,8.696904859682809e-05,1
0278482fdadbefc0a959eda682c645a8e74214cc,0.0002916014735582819,6
02b855e6e1dfed8845b80885a898a27efe562b9c,3.872066897096427e-05,1
02deb5657eed40b36758fb2cd0acf2f826f0cf56,0.0002082390108936906,6
03127018365fe7c2fa63c69f7d12bf12c7eae156,6.549038623771213e-07,20
03168f1b386cf6b93e39960c0ae79bd872da8cdd,3.774177969232095e-05,1
03e164b6d5dd5c7aeb0549227fbd4d23fd94e455,4.098136529059339e-05,6
03f957407089261e5ecd4c7e9f961f5f91647fc3,0.3536963734782498,20
048f71bb4d3ca31e6bcdd8f199e16f26a7ccea48,6.37328399123638e-05,6
04e059f7ec5e3f3882044a7c6d68e4e8a4be5b1c,3.9947109428855e-05,6
051e474a23a47faa7de98b54b86e684949bb0b99,2.4365779626154096e-07,20
05675db4b4dc74a09836eecb03246220166f7295,3.9173601697932065e-05,1
0571a7247e7c237a5b89c784db63e60f49876fd7,0.0003124238689853233,6
05767efb993baed78bfe8c87d78a502280635def,0.0026795844539152435,6
0578240c7f7b40a0e3e4474cbd36ee9f75e37e45,1.3330513786384295e-06,20
058ffa3ac28a0cd30905a946ca81ccdaf8df88dc,3.323246096387086e-06,20
05b4d3ecae91e975e37ad306ddc60c11a1b16d1f,2.8991288514523877e-05,1
073397f61ffc69ac797da616b3917cd9b5be9790,0.0003009157176550258,6
0851c743440bb0bafa222e4bbedfaf2f66ac7209,4.456583315441641e-05,6
08a74e9d14d7d40f49a837140f0ddf45f9a848f1,4.225788479890547e-05,1
08c0d80c9459caf43bf0054db17c05327dddff76,0.02349852958830564,20
0908d699b9771b6c79d4c09ac6c3b9ce8f9372d8,2.773159485960004e-07,20
09e37721985c925e7ee353be92608110a33ebe83,4.271334473796884e-05,1
0a02a0f55e306cf2a181fea35451611075a6f729,3.4521152713612236e-07,20
0aa4ed8235fae96c79fe8562df1d720c5cbd348e,0.00015343606036100936,6
0b3e1ea48006d77df9eee781b3ce67b94e3459bb,0.00012291497572586622,6
0b41f8a975ade21609aaf94381076aa9a9b202ce,0.00020264573095422084,6
